County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Lee,2018-02-27 00:00:00,MSW18047,F,225,Boca Grande Bayou,Boca Grande,Undetermined: Too Decomposed
Manatee,2018-02-28 00:00:00,MNW18037,F,142,Anna Maria Sound,Bradenton,Perinatal (<= 150 cm)
Volusia,2018-03-01 00:00:00,MNE18017,F,170,Halifax River,Daytona Beach,Undetermined: Too Decomposed
Monroe,2018-03-01 00:00:00,MSE18037,M,279,Buttonwood Sound,Key Largo,Undetermined: Other
Lee,2018-03-02 00:00:00,MSW18048,F,268,Dinken Bayou,Sanibel,Undetermined: Too Decomposed
Sarasota,2018-03-02 00:00:00,MSW18049,U,200,Myakka River,North Port,Verified: Not Recovered
Charlotte,2018-03-02 00:00:00,SWFTm1815b,F,303,Charlotte Harbor,Punta Gorda,Human Related: Watercraft Collision
Brevard,2018-03-03 00:00:00,MEC18023,F,267,Grand Canal,Satellite beach,Natural: Other
Hillsborough,2018-03-03 00:00:00,MNW18038,M,332,Old Tampa Bay,Tampa,Undetermined: Too Decomposed
Lee,2018-03-03 00:00:00,MSW18050,F,326,Caloosahatchee River,Alva,Undetermined: Too Decomposed
Lee,2018-03-04 00:00:00,MSW18051,M,285,Henley Canal,Saint James City,Natural: Other
County,Date,Field ID,Sex,Size (cm),Waterway,City,Probable Cause
Charlotte,2018-03-04 00:00:00,MSW18052,F,225,Gasparilla Sound,Placida,Natural: Other
Monroe,2018-03-05 00:00:00,MSE18038,F,230,Florida Bay,Tavernier,Verified: Not Recovered
Collier,2018-03-05 00:00:00,MSTm1805,F,284,Faka Union Canal,Port of the Islands,Natural: Cold Stress
Sarasota,2018-03-05 00:00:00,MSW18053,M,250,Blackburn Bay,Nokomis,Natural: Other
Manatee,2018-03-06 00:00:00,MNW18039,M,203,Palma Sola Bay,Bradenton,Natural: Other
Charlotte,2018-03-06 00:00:00,MSW18054,F,226,Bull Bay,Placida,Natural: Other
Lee,2018-03-06 00:00:00,MSW18055,F,236,Pine Island Sound,Saint James City,Undetermined: Too Decomposed
Lee,2018-03-06 00:00:00,MSW18056,U,,Charlotte Harbor,Bokeelia,Undetermined: Too Decomposed
Citrus,2018-03-08 00:00:00,SWFTm1753b,F,200,Kings Bay,Crystal River,Undetermined: Other
Indian River,2018-03-09 00:00:00,MEC18024,F,268,Indian River,Sebastian,Human Related: Other
Pinellas,2018-03-09 00:00:00,MNW18040,F,104,Old Tampa Bay,St. Petersburg,Perinatal (<= 150 cm)
Palm Beach,2018-03-09 00:00:00,MSE18039,F,142,Intracoastal Waterway,Highland Beach,Perinatal (<= 150 cm)
Brevard,2018-03-10 00:00:00,MEC18025,M,160,Indian River,Cocoa,Natural: Cold Stress
Brevard,2018-03-10 00:00:00,MEC18026,M,165,Banana River,Satellite Beach,Natural: Cold Stress
Brevard,2018-03-10 00:00:00,MEC18027,F,286,Turkey Creek,Palm Bay,Human Related: Watercraft Collision
Martin,2018-03-11 00:00:00,MSTm1806,F,218,St. Lucie Canal,Indiantown,Human Related: Watercraft Collision
Lee,2018-03-11 00:00:00,MSW18057,M,173,Imperial River,Bonita Springs,Natural: Other
Collier,2018-03-11 00:00:00,MSW18058,U,200,Gullivan Bay,Naples,Verified: Not Recovered
Brevard,2018-03-12 00:00:00,MEC18028,M,159,Indian River,Titusville,Undetermined: Too Decomposed
Brevard,2018-03-12 00:00:00,MEC18029,M,260,Grand Canal,Satellite Beach,Human Related: Watercraft Collision
